year	day	date
1847	107	417
1848	102	411
1849	100	410
1850	109	419
1851	102	412
1852	113	422
1853	102	412
1854	102	412
1855	101	411
1856	113	422
1857	108	418
1859	110	420
1860	115	424
1861	102	412
1862	117	427
1863	118	428
1864	105	414
1865	96	406
1866	102	412
1867	101	411
1869	113	423
1870	104	414
1877	104	414
1879	102	412
1880	110	419
1881	112	422
1882	97	407
1883	107	417
1884	109	418
1885	113	423
1886	108	418
1887	109	419
1888	107	416
1889	109	419
1890	98	408
1891	99	409
1892	115	424
1893	109	419
1894	98	408
1896	106	415
1897	106	416
1898	108	418
1899	99	409
1900	102	412
1901	102	412
1902	98	408
1903	99	409
1904	108	417
1905	105	415
1906	105	415
1907	103	413
1908	102	411
1909	108	418
1910	104	414
1911	98	408
1912	105	414
1913	103	413
1914	102	412
1915	102	412
1916	112	421
1917	103	413
1918	104	414
1920	104	413
1922	101	411
1923	97	407
1924	111	420
1925	108	418
1926	108	418
1927	107	417
1928	107	416
1929	103	413
1930	95	405
1931	105	415
1932	105	414
1933	106	416
1934	104	414
1935	102	412
1936	111	420
1937	100	410
1938	98	408
1939	104	414
1940	110	419
1941	100	410
1946	97	407
1947	107	417
1948	102	411
1949	107	417
1950	99	409
1951	98	408
1952	105	414
1953	101	411
1954	98	408
1955	97	407
1956	99	408
1957	103	413
1958	99	409
1959	92	402
1960	95	404
1961	99	409
1962	102	412
1963	101	411
1964	99	408
1965	110	420
1966	97	407
1967	97	407
1968	99	408
1969	101	411
1970	107	417
1971	98	408
1972	99	408
1973	97	407
1974	99	409
1975	100	410
1976	99	408
1977	93	403
1978	104	414
1979	97	407
1980	102	411
1981	99	409
1982	93	403
1983	99	409
1984	109	418
1985	99	409
1986	102	412
1987	95	405
1988	106	415
1989	93	403
1990	88	329
1991	97	407
1992	94	403
1993	97	407
1994	99	409
1995	99	409
1996	103	412
1997	97	407
1998	91	401
1999	94	404
2000	100	409
2001	96	406
2002	91	401
2003	98	408
2004	92	401
2005	99	409
2006	98	408
2007	97	407
2008	95	404
2009	95	405
2010	95	405
